borough,ntaname,food_scrap_drop_off_site,location,hosted_by,open_months,operation_day_hours,notes,borocd,councildist,ct2010,latitude,longitude,precinct,object_id,location_point,_assembly_district,_congress_district,dsny_district,_dsny_section,dsny_zone,senate_district,:@computed_region_efsh_h5xi,:@computed_region_f5dn_yrer,:@computed_region_yeji_bk3q,:@computed_region_92fq_4b7q,:@computed_region_sbqj_enih,website,app_android,app_ios,bbl,bin
Manhattan,Upper East Side-Carnegie Hill,SW 3rd Ave & 76th St,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",108,4,1012800,40.77228183,-73.95896669,19,42297,"{'type': 'Point', 'coordinates': [-73.95896669, 40.77228183]}",73,12,MN08,MN082,MN,28,12083,23,4,51,11,www.nyc.gov/smartcomposting,https://play.google.com/store/apps/details?id=com.bigbellysolar.nycsmartcompost&pli=264,{'url': 'https://apps.apple.com/us/app/nyc-smart-compost-by-bigbelly/id1596363956'},,
Staten Island,Westerleigh-Castleton Corners,NW Houston Street & Willowbrook Road,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",501,50,5025100,40.62262016,-74.14456081,121,42197,"{'type': 'Point', 'coordinates': [-74.14456081, 40.62262016]}",61,11,SI01,SI014,SI,24,10370,4,1,14,75,www.nyc.gov/smartcomposting,https://play.google.com/store/apps/details?id=com.bigbellysolar.nycsmartcompost&pli=217,{'url': 'https://apps.apple.com/us/app/nyc-smart-compost-by-bigbelly/id1596363909'},,
Queens,Old Astoria-Hallets Point,SW 21st Street & 30th Drive,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",401,22,4007900,40.76833214,-73.92911855,114,42006,"{'type': 'Point', 'coordinates': [-73.92911855, 40.76833214]}",36,14,QW01,QW013,QW,59,16859,39,3,4,72,www.nyc.gov/smartcomposting,https://play.google.com/store/apps/details?id=com.bigbellysolar.nycsmartcompost&pli=130,{'url': 'https://apps.apple.com/us/app/nyc-smart-compost-by-bigbelly/id1596363822'},,
Manhattan,East Village,NW Ave A & E 3 St,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",103,2,1003200,40.72376127,-73.98540061,9,42265,"{'type': 'Point', 'coordinates': [-73.98540061, 40.72376127]}",74,10,MN03,MN033,MN,27,11729,70,4,50,5,www.nyc.gov/smartcomposting,https://play.google.com/store/apps/details?id=com.bigbellysolar.nycsmartcompost&pli=305,{'url': 'https://apps.apple.com/us/app/nyc-smart-compost-by-bigbelly/id1596363997'},,
Manhattan,Chelsea-Hudson Yards,SE 8 Ave & W 25 St,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",104,3,1009100,40.74644185,-73.99747697,10,42360,"{'type': 'Point', 'coordinates': [-73.99747697, 40.74644185]}",75,12,MN04,MN042,MN,47,11722,12,4,10,6,www.nyc.gov/smartcomposting,https://play.google.com/store/apps/details?id=com.bigbellysolar.nycsmartcompost&pli=329,{'url': 'https://apps.apple.com/us/app/nyc-smart-compost-by-bigbelly/id1596364021'},,
Manhattan,West Village,*LAST DAY DECEMBER 6* Christopher Park,"West 4th Street b/w Christopher St and Grove St., west side of Christopher Park",NYC Compost Project Hosted by LES Ecology Center,Year Round,Wednesday (Start Time: 9:00 AM - End Time:  2:00 PM),,102,3,1007100,40.733536,-74.002663,6,42244,"{'type': 'Point', 'coordinates': [-74.002663, 40.733536]}",66,10,MN02,MN021,MN,27,12077,57,4,10,3,https://www.lesecologycenter.org/programs/compost/compost-drop-off-locations/,,,,
Bronx,Belmont,NE Bathgate Avenue & East 189th Street,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",206,15,2038700,40.85865876,-73.88819441,48,42463,"{'type': 'Point', 'coordinates': [-73.88819441, 40.85865876]}",78,15,BX06,BX061,BX,33,10936,35,5,22,31,www.nyc.gov/smartcomposting,https://play.google.com/store/apps/details?id=com.bigbellysolar.nycsmartcompost&pli=433,{'url': 'https://apps.apple.com/us/app/nyc-smart-compost-by-bigbelly/id1596364125'},,
Manhattan,Midtown South-Flatiron-Union Square,NW Park Ave S/Union Square East & E 17 St,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",105,2,1005200,40.73674344,-73.98908567,13,42331,"{'type': 'Point', 'coordinates': [-73.98908567, 40.73674344]}",74,12,MN05,MN051,MN,28,11724,11,4,50,7,www.nyc.gov/smartcomposting,https://play.google.com/store/apps/details?id=com.bigbellysolar.nycsmartcompost&pli=289,{'url': 'https://apps.apple.com/us/app/nyc-smart-compost-by-bigbelly/id1596363981'},,
Manhattan,Hell's Kitchen,SE 43RD ST & 9TH AVE,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",104,3,1012101,40.7589304,-73.99201306,14,42328,"{'type': 'Point', 'coordinates': [-73.99201306, 40.7589304]}",75,12,MN04,MN043,MN,47,13094,12,4,10,8,www.nyc.gov/smartcomposting,https://play.google.com/store/apps/details?id=com.bigbellysolar.nycsmartcompost&pli=336,{'url': 'https://apps.apple.com/us/app/nyc-smart-compost-by-bigbelly/id1596364028'},,
Queens,Springfield Gardens (South)-Brookville,Garden of Resilience,"179-18 145th Dr, Jamaica, NY 11434",Volunteers at Garden of Resilience,Year Round,Saturday (Start Time: 9:00 AM - End Time:  1:00 PM),,413,31,4032000,40.66392,-73.76626,105,42566,"{'type': 'Point', 'coordinates': [-73.76626, 40.66392]}",31,5,QE13,QE138,QE,10,24669,63,3,47,63,http://www.laurelton.nyc/resilience,,,,
